Year,NaturalGas_CC,Wind,Solar
2021,56.6,35.4,24.9
2022,56.6,35.4,24.9
2023,56.6,35.4,24.9
2024,56.6,35.4,24.9
2025,56.6,35.4,24.9
2026,56.6,35.4,24.9
2027,56.6,35.4,24.9
2028,56.6,35.4,24.9
2029,56.6,35.4,24.9
2030,56.6,35.4,24.9
2031,56.6,35.4,24.9
2032,56.6,35.4,24.9
2033,56.6,35.4,24.9
2034,56.6,35.4,24.9
2035,56.6,35.4,24.9
2036,56.6,35.4,24.9
2037,56.6,35.4,24.9
2038,56.6,35.4,24.9
2039,56.6,35.4,24.9
2040,56.6,35.4,24.9
2041,56.6,35.4,24.9
2042,56.6,35.4,24.9
2043,56.6,35.4,24.9
2044,56.6,35.4,24.9
2045,56.6,35.4,24.9
2046,56.6,35.4,24.9
2047,56.6,35.4,24.9
2048,56.6,35.4,24.9
2049,56.6,35.4,24.9
2050,56.6,35.4,24.9
2051,56.6,35.4,24.9
