,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST,AVG
2011,45.51672376,46.23096644,46.0250304,45.82691818,46.639022,43.48951414,45.62136249
2012,27.35750268,28.02129896,27.77957059,27.72987999,28.76076379,36.65684604,29.38431034
2013,32.96543029,33.16528232,32.91248039,32.13574095,33.0070157,38.34810315,33.75567547
2014,39.39809499,38.98980186,39.26067258,38.47299794,40.49970368,43.2264941,39.97462753
2015,26.40212691,26.26748717,26.22802809,25.5116508,26.86711215,26.94775843,26.37069392
2016,22.39636269,23.01939828,24.03534907,22.14631563,24.19125586,21.88209278,22.94512905
2017,24.66023941,25.59336973,28.99195403,23.85268872,28.8742358,23.68921508,25.94361713
2018,33.10893139,34.57609422,34.15219997,34.14757946,36.6749656,39.0394279,35.28319976
2019,37.98851033,39.84803014,38.59482285,37.98692271,40.05885785,45.56147868,40.00643709
2020,23.03382922,22.93999907,22.98332592,22.34651911,25.74638846,30.45323958,24.58388356
