,Year,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
Jan,2020,17.229139784946234,17.80470430107527,17.22409946236559,17.190443548387098,17.528534946236558,23.465793010752687
Feb,2020,18.64610632183908,19.57402298850575,17.756738505747126,17.895890804597702,19.204051724137933,53.40577586206896
Mar,2020,23.53056527590848,24.46169582772544,24.20043068640646,23.497537012113053,23.43979811574697,66.71437415881562
Apr,2020,21.45145833333333,21.64563888888889,20.93283333333333,20.237972222222226,21.59843055555556,22.198847222222224
May,2020,18.80307795698925,19.89494623655914,19.806706989247317,18.49138440860215,20.10317204301075,19.189341397849464
Jun,2020,18.833569444444443,19.57223611111111,19.753416666666663,19.439666666666668,19.232444444444447,18.706069444444445
Jul,2020,22.00790322580645,22.73081989247312,24.07157258064516,23.34587365591398,25.014193548387095,22.895873655913977
Aug,2020,39.043225806451616,39.01627688172043,40.06180107526882,39.55028225806451,66.41858870967742,38.71
Sep,2020,19.371402777777774,19.247527777777776,20.070875,19.11572222222222,20.066125,20.38163888888889
Oct,2020,25.824314516129032,26.39583333333333,25.32913978494624,24.138454301075267,28.89793010752688,24.339663978494624
Nov,2020,24.631705963938973,24.093356449375868,25.397780859916782,24.12876560332871,26.68495145631068,29.67061026352288
Dec,2020,27.0334811827957,20.84293010752688,21.19451612903226,21.126236559139784,20.76844086021505,25.76088709677419
