Year(MW),New,Retirement,Total
1999,0,0,76056
2000,7073,1231,81898
2001,6040,-318,88256
2002,8256,-53,96565
2003,6124,5119,97570
2004,2213,-835,100618
2005,687,257,101048
2006,1677,1971,100754
2007,2312,1128,101938
2008,3515,487,104966
2009,2925,4853,103037
2010,4351,-869,108258
2011,2506,1584,109179
2012,1791,1401,109568
2013,1664,1649,109584
2014,4670,1340,112914
2015,5204,973,117144
2016,3727,2150,118722
2017,5504,714,123512
2018,3355,4708,122159
2019,4575,1618,125117
2020,4824,994,128947
