,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
Jan,1001780.0,1673512.0,7403928.0,10070959.0,3659085.0,3926673.0
Feb,978681.0,1649887.0,7012152.0,9782547.0,3534736.0,3726840.0
Mar,1014857.0,1682362.0,8011884.0,8853267.0,3801308.0,3703781.0
Apr,965859.0,1646890.0,7492781.0,8475504.0,3772151.0,3478661.0
May,1157054.0,2078741.0,8829978.0,10026367.0,4370749.0,3453446.0
Jun,1194765.0,2296602.0,9644855.0,12299613.0,4637357.0,3822053.0
Jul,1474034.0,2712645.0,10574033.0,14094820.0,5231192.0,4266140.0
Aug,1506596.0,2697282.0,10840696.0,14216464.0,5309850.0,4289968.0
Sep,1169222.0,2104947.0,9461973.0,10543939.0,4382601.0,3718251.0
Oct,1125427.0,1979147.0,8904137.0,9871981.0,4349025.0,3702091.0
Nov,962586.0,1621284.0,7752734.0,8653145.0,3705902.0,3500756.0
Dec,1045539.0,1802493.0,7886971.0,10394686.0,3833463.0,3864760.0
