Year($MW),NG,Solar,Wind
2000,1661000,10460000,1869015.731
2001,1661000,10460000,1468543.497
2002,1661000,10460000,1716444.995
2003,1661000,10460000,1560447.717
2004,1661000,10460000,1438309.735
2005,1661000,10460000,1689240.208
2006,1661000,10460000,1886372.81
2007,1661000,10460000,2075793.688
2008,1661000,4820000,2320763.626
2009,1661000,5190000,2537712.273
2010,1661000,5380000,2535169.651
2011,1661000,4720000,2429708.835
2012,1661000,4370000,2193163.671
2013,1661000,3890000,2063434.175
2014,1661000,3300000,1904336.806
2015,1661000,2960000,1734791.721
2016,1661000,2450000,1773759.969
2017,1661000,2270000,1693065.353
2018,1661000,1840000,1490661.663
2019,1661000,1580000,1429614.958
2020,1661000,1420000,1462330.084
